COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS
Nacional,Mensual,01/10/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",73.96892635,Índice,Cifras definitivas
Nacional,Mensual,01/11/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",74.56158125,Índice,Cifras definitivas
Nacional,Mensual,01/12/2010,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",74.93095445,Índice,Cifras definitivas
Nacional,Mensual,01/01/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.29599135,Índice,Cifras definitivas
Nacional,Mensual,01/02/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.57846024,Índice,Cifras definitivas
Nacional,Mensual,01/03/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.72345093,Índice,Cifras definitivas
Nacional,Mensual,01/04/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.71744095,Índice,Cifras definitivas
Nacional,Mensual,01/05/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.15926438,Índice,Cifras definitivas
Nacional,Mensual,01/06/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.15550814,Índice,Cifras definitivas
Nacional,Mensual,01/07/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.51610674,Índice,Cifras definitivas
Nacional,Mensual,01/08/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.63555502,Índice,Cifras definitivas
Nacional,Mensual,01/09/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",75.82111305,Índice,Cifras definitivas
Nacional,Mensual,01/10/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",76.3327123,Índice,Cifras definitivas
Nacional,Mensual,01/11/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",77.15833283,Índice,Cifras definitivas
Nacional,Mensual,01/12/2011,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",77.79238536,Índice,Cifras definitivas
Nacional,Mensual,01/01/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.34304946,Índice,Cifras definitivas
Nacional,Mensual,01/02/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.50231384,Índice,Cifras definitivas
Nacional,Mensual,01/03/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.54738867,Índice,Cifras definitivas
Nacional,Mensual,01/04/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.30097963,Índice,Cifras definitivas
Nacional,Mensual,01/05/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.05381934,Índice,Cifras definitivas
Nacional,Mensual,01/06/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.41366669,Índice,Cifras definitivas
Nacional,Mensual,01/07/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",78.85389747,Índice,Cifras definitivas
Nacional,Mensual,01/08/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",79.0905403,Índice,Cifras definitivas
Nacional,Mensual,01/09/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",79.43911894,Índice,Cifras definitivas
Nacional,Mensual,01/10/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",79.84103612,Índice,Cifras definitivas
Nacional,Mensual,01/11/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",80.3834365,Índice,Cifras definitivas
Nacional,Mensual,01/12/2012,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",80.56824328,Índice,Cifras definitivas
Nacional,Mensual,01/01/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",80.89278202,Índice,Cifras definitivas
Nacional,Mensual,01/02/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.29094297,Índice,Cifras definitivas
Nacional,Mensual,01/03/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.88743314,Índice,Cifras definitivas
Nacional,Mensual,01/04/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.94152293,Índice,Cifras definitivas
Nacional,Mensual,01/05/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.66882024,Índice,Cifras definitivas
Nacional,Mensual,01/06/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.61923793,Índice,Cifras definitivas
Nacional,Mensual,01/07/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.59219304,Índice,Cifras definitivas
Nacional,Mensual,01/08/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",81.82432839,Índice,Cifras definitivas
Nacional,Mensual,01/09/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",82.13233968,Índice,Cifras definitivas
Nacional,Mensual,01/10/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",82.52298816,Índice,Cifras definitivas
Nacional,Mensual,01/11/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",83.29226516,Índice,Cifras definitivas
Nacional,Mensual,01/12/2013,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",83.7700583,Índice,Cifras definitivas
Nacional,Mensual,01/01/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.51905163,Índice,Cifras definitivas
Nacional,Mensual,01/02/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.73315704,Índice,Cifras definitivas
Nacional,Mensual,01/03/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.96529239,Índice,Cifras definitivas
Nacional,Mensual,01/04/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.80677925,Índice,Cifras definitivas
Nacional,Mensual,01/05/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.53557906,Índice,Cifras definitivas
Nacional,Mensual,01/06/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.68207224,Índice,Cifras definitivas
Nacional,Mensual,01/07/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.91495883,Índice,Cifras definitivas
Nacional,Mensual,01/08/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",85.21996514,Índice,Cifras definitivas
Nacional,Mensual,01/09/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",85.59633992,Índice,Cifras definitivas
Nacional,Mensual,01/10/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",86.06962558,Índice,Cifras definitivas
Nacional,Mensual,01/11/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",86.76377787,Índice,Cifras definitivas
Nacional,Mensual,01/12/2014,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",87.18898371,Índice,Cifras definitivas
Nacional,Mensual,01/01/2015,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",87.11010277,Índice,Cifras definitivas
