AÑO,ENTIDAD,CULTIVO,VARIEDAD,UNIDAD_MEDIDA,TIPO_TECNOLOGIA,TIPO_PRODUCCION,TIPO_MERCADO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO_MEDIO_RURAL,VALOR_PRODUCCION
2017,Tlaxcala,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,128974.0,128974.0,0.0,393465.35,3.05,3294.43,1296245220
2017,Veracruz,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,578476.75,547727.81,30748.94,1268916.43,2.32,3910.47,4962061310
2017,Yucatán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,90363.7,89657.1,706.6,95449.97,1.06,4072.21,388692720
2017,Zacatecas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,193958.0,188285.25,5672.75,329609.34,1.75,3788.64,1248771550
2018,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,39425.0,39425.0,0.0,73630.94,1.87,3808.92,280454150
2018,Baja California,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,561.5,561.5,0.0,5806.96,10.34,4150.14,24099670
2018,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,5271.0,5271.0,0.0,46686.13,8.86,3888.83,181554560
2018,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,164102.0,155365.5,8736.5,418138.28,2.69,3793.83,1586345120
2018,Coahuila,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,30355.43,30315.43,40.0,30550.21,1.01,3374.23,103083500
2018,Colima,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,13556.25,13556.25,0.0,59923.98,4.42,3844.45,230375040
2018,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,574054.35,559510.35,14544.0,1013932.97,1.81,3940.45,3995351180
2018,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,54335.56,54255.26,80.3,92140.8,1.7,3697.11,340654450
2018,Ciudad de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,3575.0,3575.0,0.0,4834.45,1.35,4887.45,23628150
2018,Durango,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,137325.37,127126.42,10198.95,287805.27,2.26,3853.33,1109009410
2018,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,405671.38,398700.92,6970.46,1669285.12,4.19,3937.51,6572822940
2018,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,479766.45,471569.1,8197.35,1265381.68,2.68,4179.85,5289109720
2018,Hidalgo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,230105.09,221728.23,8376.86,711589.95,3.21,3886.92,2765894410
2018,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,456113.76,456113.76,0.0,3020504.6,6.62,3928.96,11867429870
